AÑO,0-4,5-14,15-19,20-29,30-59,60+
2051,0.6111323801121894,0.6448458503516913,0.7001361745979169,0.788574235483613,1.2171931898671786,2.374992334893608
2052,0.6003295770427951,0.6335345939143124,0.6887931986308933,0.7768270904016115,1.2118386290118277,2.4213202379249026
2053,0.5896849043727217,0.6224549673015898,0.677442861874793,0.7656511193106311,1.2053069953968356,2.4676532510271243
2054,0.5791983621019692,0.6116031100164457,0.6660778035405396,0.7547416960821272,1.197925732396041,2.5133832757598675
2055,0.5688782728831333,0.6009944640471907,0.65466121968275,0.7438513119866573,1.190008496293858,2.558040185597776
2056,0.5587329593688101,0.5905672614405831,0.6433035221375731,0.7327248426415655,1.1817379660251648,2.6014195777037386
2057,0.5487540989064035,0.5803176416995453,0.6320783187957749,0.7213356332606038,1.1731072480452491,2.6435521125033214
2058,0.5389416914959135,0.57025718631531,0.6210886607044275,0.7097712638557291,1.1638836852200678,2.6850663287206427
2059,0.5292957371373405,0.560339569322946,0.6103713518089139,0.6982221257572815,1.1538415139602898,2.7263659219589966
2060,0.5198412037884714,0.5505995351961519,0.5998969489529278,0.6867719911506109,1.1430548398715732,2.7672260490975615
2061,0.5105780914493068,0.5410061999583067,0.5896286481910861,0.6754741696082127,1.131814915218017,2.806813768575108
2062,0.5014481415516754,0.5315634241064879,0.5795738103124655,0.6643134298236596,1.1203905882434042,2.844444330887313
2063,0.4924929673585565,0.5222712076406958,0.5697177137389128,0.6532897717969515,1.1089059427525578,2.8796782699343866
2064,0.4836626329543752,0.5131295505609302,0.5600309153141216,0.6423765407418408,1.0973230642495602,2.9128528503975635
2065,0.47498210629691895,0.5041538948555015,0.5505207758271686,0.6315470818720799,1.0855230390881219,2.9443564376673548
2066,0.46645138738618774,0.4953210775419443,0.5411136873872879,0.6208585125867708,1.0734093576422699,2.9745262964249943
2067,0.4580871215273732,0.4866388196144136,0.5318317323617092,0.6103565268051954,1.0608751699689618,3.003669030926149
2068,0.4498476954574962,0.47809553958167655,0.5227264362739685,0.6000411245273535,1.0478946252755263,3.0318715123765916
2069,0.4417414318291526,0.4696950979408109,0.5137462736005299,0.5899275370596725,1.034531488850553,3.058990658790344
2070,0.4337600079897465,0.4614606576742821,0.5049206874976998,0.5800233800553658,1.0209512057671395,3.0845563436420496
