AÑO,0-4,5-14,15-19,20-29,30-59,60+
2044,0.7840899011938339,0.7596790527381787,0.7928233264687331,0.8700791333282735,1.2513474566094247,2.261538202776345
2045,0.7727458180334558,0.750568668692062,0.7871999270477913,0.8578236537147924,1.2547646630828677,2.310869906483371
2046,0.7616678197009207,0.741014255667212,0.7809989893079419,0.8482086147872667,1.2564900433022752,2.3599324975891998
2047,0.750882514679013,0.7311755082963309,0.774478885655012,0.8409823557844026,1.2565059372858727,2.4087427956314054
2048,0.7404076419562556,0.7212432811404533,0.7676852112194418,0.8350383682795591,1.2551461186892054,2.4575138480859366
2049,0.7302165930498643,0.7112759990652021,0.7604127879142507,0.8299372445942869,1.2525218453974556,2.5065147675539907
2050,0.7203359764426233,0.7013048219989094,0.7524868344060854,0.8249679432125495,1.2488591651773415,2.5561772554999886
2051,0.7107037056747024,0.6913570148788658,0.7439149498833525,0.8193235518521034,1.2444565317208593,2.6067367854499786
2052,0.7013020417575789,0.6814910025706941,0.7348947132446255,0.813551332803381,1.2391479411993247,2.657699984301765
2053,0.6921043762084685,0.6717768949131417,0.725578108258038,0.8077631352936242,1.2330411195015647,2.708551052903052
2054,0.6831550564986785,0.662292591727039,0.716063924372877,0.8014316701086934,1.226469840283125,2.7586900944136707
2055,0.6743919961683785,0.653038093012386,0.7063293640239222,0.7944051418687609,1.2196442573271264,2.807808750644749
2056,0.665841803700353,0.6440095037781413,0.6963972247763939,0.7867434698027059,1.2126085205880068,2.8556827610952884
2057,0.6574690011175562,0.6351951390511802,0.6863890936447987,0.7786783415955292,1.205219584213389,2.902508353703662
2058,0.6492735884199883,0.6265949988315027,0.6764721527740837,0.7703615526270587,1.1971878245021652,2.948913457872665
2059,0.6412555656076491,0.6182090831191088,0.6667223940483157,0.7616852482853114,1.1883384076347634,2.9955428225426655
2060,0.633343976726447,0.6100685518423308,0.6571550158443078,0.7525695362651146,1.1787790595000105,3.0422450718754908
2061,0.625574299753428,0.6021266651086703,0.6478080141040937,0.7430503681037961,1.16883825575892,3.0879605750039247
2062,0.617884448228762,0.5943483679987536,0.6387117855812999,0.7332515768743734,1.1587650021545177,3.13183153551165
2063,0.6102034661983574,0.5867336605125808,0.6298359335222998,0.7233688987245194,1.1486317046120809,3.173527169159696
2064,0.602487006190907,0.5792825426501519,0.6212032554923134,0.7134702421136309,1.1383200412537173,3.2132493103989592
2065,0.5947528071949337,0.5719950144114668,0.6128365490565607,0.7035755801180009,1.1277399461723756,3.2513735955686127
2066,0.5869742607276534,0.5648438108592351,0.6046902190846017,0.6936929019681469,1.1167836934792283,3.2883261196205513
2067,0.5791602362833271,0.5578016670561657,0.596680674503963,0.6838901161234656,1.1053718132562886,3.3243255365432485
2068,0.5713462118390009,0.5508335280828854,0.5888611096334911,0.6742471148891295,1.0934689855400068,3.3595176156623534
2069,0.5635144484061518,0.5439316039573109,0.5812391236615929,0.6648238174940181,1.0811175942866427,3.393722948577067
2070,0.5556738154790414,0.53706473475111,0.5737919190230484,0.65562421855339,1.0685066013011875,3.426347244959745
