id_ptar,nom_ptar,Proceso de tratamiento,NRE,nom_loc,cap_inst,caud_trat,LONGITUD,LATITUD,%ut,Monto
1050,Cospita,Reactor Enzimatico,45,Cospita,3,2.5,-107.1295,24.106,83.33%," $70,000.00 "
2535,Matatán,Fosa Septica + Filtro Biologico,85,Matatán,1.2,1,-105.7283,23.0333,83.33%," $28,000.00 "
4282,Nuevo Salto Grande,Fosa Septica + Wetland,85,Nuevo Salto Grande,0.6,0.5,-106.767,24.0933,83.33%," $14,000.00 "
3894,Agua Nueva,Fosa Septica + Wetland,85,Agua Nueva,0.6,0.5,-106.8231,24.0897,83.33%," $14,000.00 "
1807,La Cruz,Lagunas de Estabilización,60,La Cruz,46.4,38.6,-106.8927,23.9154,83.19%," $1,080,800.00 "
2944,San Pedro,Lodos Activados,67.5,San Pedro,20,16.6,-107.554,24.7735,83.00%," $464,800.00 "
2538,Tanques,Fosa Septica + Wetland,85,Tanques,3.5,2.9,-107.0146,24.0617,82.86%," $81,200.00 "
2531,Costa Rica,Lodos Activados,67.5,Costa Rica,100,82.8,-107.3896,24.5904,82.80%," $2,318,400.00 "
2999,Zapotillo Viejo,Fosa Septica + Wetland,85,Zapotillo Uno (Zapotillo Viejo),2.2,1.81,-108.9969,25.9291,82.27%," $50,680.00 "
3873,Santa Refugio,Fosa Séptica,85,Higueras de Abuya,7.3,6,-107.0696,24.2605,82.19%," $168,000.00 "
1614,Oso Nuevo y Oso Viejo,Fosa Séptica,85,Oso Viejo,7.8,6.4,-107.1711,24.3975,82.05%," $179,200.00 "
3711,El Colorado,Lagunas de Estabilización,60,El Colorado,10.5,8.6,-109.3158,25.7599,81.90%," $240,800.00 "
3892,Caimanes,Fosa Septica + Wetland,85,Caimanes II,2.2,1.8,-106.939,24.0156,81.82%," $50,400.00 "
3204,Chinitos - Palmitas - Gato de Lara,Lagunas de Estabilización,60,Colonia Independencia (Chinitos),33.2,27,-107.9146,25.0576,81.33%," $756,000.00 "
3780,Villa Union,Lodos Activados,67.5,Villa Union,46,37.2,-106.22,23.1886,80.87%," $1,041,600.00 "
1609,Tozalibampo,Fosa Septica + Wetland,85,Tozalibampo,2.5,2.02,-109.112,25.9804,80.80%," $56,560.00 "
4514,Laguna de Oxidacion Santa Rosalia,Lagunas de Estabilización,60,Santa Rosalia,40,32,-112.2683,27.3369,80.00%," $896,000.00 "
4236,El Carrizal I,Fosa Séptica,85,"Carrizal, El",1,0.8,-107.25,24.6085,80.00%," $22,400.00 "
3876,Ejido Los Huizaches,Fosa Séptica,85,Ejido Los Huizaches,1,0.8,-107.3814,24.7038,80.00%," $22,400.00 "
3666,Igancio Allende,Fosa Septica + Wetland,85,Igancio Allende,0.5,0.4,-108.057,25.1658,80.00%," $11,200.00 "
4180,Rafael Buelna,Fosa Septica + Filtro Biologico,85,Rafael Buelna,1.5,1.2,-108.0761,25.1851,80.00%," $33,600.00 "
1612,Comanito,Fosa Séptica,85,Ejido Comanito,1.5,1.2,-107.2644,24.5096,80.00%," $33,600.00 "
3486,La Higuera (del Salado),Fosa Séptica,85,La Higuera,2.4,1.9,-107.1825,24.591,79.17%," $53,200.00 "
3958,Nuevo Hogar,Lodos Activados,67.5,Delta (Estaci¢n Delta),4,3.14,-115.1964,32.356,78.50%," $87,920.00 "
3395,El Progreso,Fosa Septica + Wetland,85,El Progreso,3.2,2.5,-108.5907,25.4334,78.13%," $70,000.00 "
2150,Vicente Guerrero / El Pitahayal,Lagunas de Estabilización,60,Vicente Guerrero,3.6,2.8,-108.3696,25.4809,77.78%," $78,400.00 "
2307,Constituyentes,Fosa Septica + Wetland,85,Constituyentes de Sinaloa,0.9,0.7,-107.8852,25.0203,77.78%," $19,600.00 "
1355,Concordia,"Rafa, Wasb + Humedal",45,Concordia,36.7,28.5,-106.0686,23.2876,77.66%," $798,000.00 "
3665,Higuera de Zaragoza,Lagunas de Estabilización,60,Higuera de Zaragoza,30,23.1,-109.2967,25.9663,77.00%," $646,800.00 "
2930,Culiacancito,Lagunas Aireadas,60,Culiacancito,13.1,10,-107.5343,24.822,76.34%," $280,000.00 "
3874,El Pozo,Fosa Séptica,85,"Pozo, El",2.1,1.6,-107.2536,24.9116,76.19%," $44,800.00 "
2281,Bacaporobampo,Fosa Septica + Wetland,85,Bacaporobampo,1.2,0.91,-109.0175,25.9086,75.83%," $25,480.00 "
2800,Rosario,Lagunas de Estabilización,60,El Rosario,66,49.6,-105.8538,22.9909,75.15%," $1,388,800.00 "
1619,Fraccionamiento Los Lagos,Lodos Activados,67.5,Hermosillo,80,60,-111.5267,28.6403,75.00%," $1,680,000.00 "
1617,Cerritos,Lodos Activados,67.5,Mazatlán,20,15,-106.4222,23.2003,75.00%," $420,000.00 "
3962,Bagojo Colectivo,Lodos Activados,67.5,Bagojo Colectivo,20,15,-109.1191,25.8774,75.00%," $420,000.00 "
3882,El Salado,Lodos Activados,67.5,"Salado, El",8,6,-107.1602,24.5076,75.00%," $168,000.00 "
2797,Palos Verdes,Fosa Septica + Wetland,85,Palos Verdes,2.4,1.8,-108.4582,25.3795,75.00%," $50,400.00 "
3775,Ensenada,Fosa Septica + Wetland,85,Ensenada,2,1.5,-106.6986,24.0581,75.00%," $42,000.00 "
2952,Los Humayes,Fosa Septica + Filtro Biologico,85,Los Humayes,0.8,0.6,-106.3742,23.9269,75.00%," $16,800.00 "
3712,El Batallón,Fosa Septica + Filtro Biologico,85,El Batallón (El Batallón de los Pallanes),0.4,0.3,-108.2018,25.2889,75.00%," $8,400.00 "
3782,La isleta,Fosa Septica + Filtro Biologico,85,La Isleta,0.4,0.3,-108.1296,25.4164,75.00%," $8,400.00 "
3783,Cerro de los sánchez,Fosa Septica + Filtro Biologico,85,Cerro de Los Sanchez,0.4,0.3,-108.0575,25.2333,75.00%," $8,400.00 "
3784,Nacozari,Fosa Septica + Filtro Biologico,85,Nacozari,0.4,0.3,-108.2574,25.337,75.00%," $8,400.00 "
3786,El ranchito,Fosa Septica + Filtro Biologico,85,El Ranchito,0.4,0.3,-108.1557,25.3166,75.00%," $8,400.00 "
3869,Duranguito,Reactor Enzimatico,45,Duranguito,3.5,2.6,-106.7116,23.7606,74.29%," $72,800.00 "
