AÑO,0-4,5-14,15-19,20-29,30-59,60+
2048,0.9228631630378356,0.9434825676297837,1.0401393265881573,1.1179300329348305,1.6943757154990953,3.4200351984803197
2049,0.915656396005741,0.936269654142891,1.0333941504948305,1.1140400923212572,1.702438544013196,3.5404363494147555
2050,0.9083885546767643,0.9289869832721793,1.026289600265384,1.1084515443064236,1.7095165995790096,3.663547224627762
2051,0.9009680276055821,0.9216903609247039,1.0190191850500359,1.1009698918596509,1.7157083594913647,3.7893957594211805
2052,0.8933032033468715,0.9143518841469369,1.0115276165201526,1.0930603459453851,1.7204721986287037,3.9169483476268963
2053,0.8854551561975142,0.9069296985085872,1.003842538840051,1.0853582635305101,1.7239250587786354,4.04416571221052
2054,0.8774238861575107,0.8994935613934735,0.9959915961740476,1.0775394828972278,1.726485468444182,4.169539346872643
2055,0.869392616117507,0.8919876668945408,0.9880024326864599,1.0695780711081144,1.728338072553147,4.2918680336341035
2056,0.8611781231868568,0.8843701605814975,0.9798474042129707,1.0614091958196106,1.729562883907579,4.4114031902114705
2057,0.8529636302562067,0.876696848361399,0.9715541549178969,1.0530717564378518,1.7300552703817227,4.527921334190016
2058,0.8447186001771154,0.8688979728504262,0.9632609056228231,1.0445268535567023,1.7295259549220183,4.643266195491242
2059,0.8365651815433475,0.8610293399556344,0.9549123679991154,1.0358263530510101,1.7275687186872977,4.758890409810878
2060,0.8284117629095795,0.8530211922932043,0.9466191187040416,1.0270350872643343,1.7242328003249752,4.874849847752605
2061,0.8202583442758116,0.8449153842934275,0.9384917343948692,1.0181271232592515,1.7199921218164138,4.9891331675838755
2062,0.8121049256420435,0.8367537703865954,0.9304196384143307,1.0090765280983376,1.7152959858192696,5.099701092270302
2063,0.8039209698598345,0.8285503020494719,0.9222646099408415,1.0000777988122715,1.7102305599665177,5.206413945302679
2064,0.7957675512260665,0.8202491733750017,0.9140266489744016,0.9910401701200695,1.7045311865283062,5.310612621169372
2065,0.7875835954438575,0.8120457050378782,0.9056781113506939,0.9820544073027152,1.6978962787892216,5.413638014358745
2066,0.7793996396616484,0.8038422367007547,0.897080776248134,0.9731594097663442,1.6901535014833142,5.515965025002095
2067,0.7712462210278804,0.7956806227939227,0.8883452203239897,0.9643162781048209,1.6812905449487303,5.618292035645445
2068,0.7630622652456713,0.7875050574103268,0.8795543760712113,0.955434247037162,1.6712335512143481,5.7204514344777495
2069,0.7549088466119034,0.7793294920267311,0.8706805993254824,0.9465262830320791,1.660284106995581,5.821381680029052
2070,0.7467248908296943,0.7712236840269543,0.8617515342511196,0.9376312854957081,1.6487130248532074,5.919769813112831
