AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,0.9891471133559235,0.9919104769278986,0.9931758229154719,1.0046514937586841,1.0130433343264806,1.021555372416251
2022,0.9799725081516527,0.9816529321755803,0.9886956646404405,1.0068161985835788,1.028192508726822,1.0555506058446187
2023,0.9693993350808772,0.9700090334236676,0.9870254616355086,1.0067150791540422,1.0449380754276971,1.0974307287954383
2024,0.9572038232849562,0.9576793318953598,0.987075639408189,1.0051458554141963,1.0612587957905268,1.1402463471133286
2025,0.9434099482130298,0.9455192375053002,0.9868677600642275,1.002876285995708,1.0768695997616446,1.1837134711332857
2026,0.9280257016814781,0.9342477370351935,0.9845667507741713,1.0005393036241952,1.09154610962139,1.2275314059158946
2027,0.9137762930758903,0.9229578010065815,0.9790185227663722,0.9984157956039265,1.1052460246521225,1.2717502672843906
2028,0.9015887730963493,0.9108861972973471,0.9703592728523913,0.9961986584822348,1.1181330302394956,1.316442444761226
2029,0.8899926475289304,0.8981877845989344,0.9598864548686776,0.993224998221047,1.1305069097302685,1.3616135067712045
2030,0.8780209065916501,0.8853824456611913,0.9483742401651566,0.9892214178442087,1.1423621456395316,1.4071353795438346
2031,0.8651141231379068,0.8735246944306178,0.9353853652941851,0.9844575691638172,1.1535129826419925,1.4529412419814682
2032,0.8512643053513202,0.8628910642847925,0.9211348778529648,0.9792892427652793,1.163821483614909,1.4988918834640057
2033,0.8370308803784924,0.852463912394226,0.907106606262186,0.9741021905464569,1.1734163898728405,1.5446253563791874
2034,0.822941308100505,0.8416569879984515,0.8934367473334098,0.9689525899682035,1.1826986386525566,1.5896794814682822
2035,0.809227351192379,0.8300720830337555,0.8811001835072829,0.9632674309298119,1.1921298595248342,1.633447300427655
2036,0.7958730260213541,0.8174105414523533,0.8720108383988989,0.9559194190501515,1.2021257030195356,1.6752828759800427
2037,0.78273447989259,0.8049186070091994,0.8642619566464044,0.946376741033141,1.2128572111688607,1.7149244921596578
2038,0.7695559746819257,0.7931935917998636,0.8550435829796995,0.9354296264947886,1.2241662160720657,1.752645001781896
2039,0.756257592225561,0.7818077908670243,0.8444775777038651,0.9237184984888263,1.2355598224105524,1.7889065841054883
2040,0.742863307972636,0.7704219899341851,0.832535267805941,0.9120448221234331,1.2464403026524389,1.8244387027797577
2041,0.729453040086951,0.7587301587301587,0.8192453262988875,0.9011351592256499,1.2562283208822091,1.8599374109052031
2042,0.7161786330797264,0.7466733034677285,0.8069446037389609,0.89012437689833,1.2645027090850907,1.8961377405559516
