AÑO,0-4,5-14,15-19,20-29,30-59,60+
2044,0.9516998604592161,0.9736918986824038,1.0687902206811437,1.146667045761483,1.591777561123843,3.1313578904444745
2045,0.944659393631866,0.9672938151859535,1.0631189209838088,1.1445915016419543,1.6055533749477708,3.244610574962621
2046,0.9375237853609032,0.9606620117444272,1.0572419264787987,1.142999303413275,1.6176388660276781,3.3590865842055186
2047,0.9303247494608652,0.953840310847527,1.051041697276013,1.1416772102412465,1.6281479887058585,3.4746499932037516
2048,0.9230939997462895,0.946857927488387,1.044547618347977,1.139473721621199,1.6376125299130149,3.5913551719450862
2049,0.915768108588101,0.9397586841567093,1.03770091974964,1.1358059792729909,1.6462224135529697,3.7091749354356396
2050,0.9083470759862996,0.9325425808524935,1.0305603714260527,1.1303327978619053,1.6540726015776346,3.828435503602012
2051,0.9007674743118103,0.9252242250723071,1.0233610531574153,1.1230683934435552,1.6610301472543334,3.9491912464319694
2052,0.8929975897500951,0.9178328318092845,1.0159560400811025,1.1152779949675162,1.6667152027754213,4.071115943998913
2053,0.8851642775593048,0.9103099710771568,1.0083747171696396,1.1075018125470908,1.6712290608896037,4.192143536767704
2054,0.8771723962958264,0.9027725028484618,1.000587699450501,1.0996829819598255,1.6748692690462021,4.3115672148973765
2055,0.8691488012178105,0.8951766046334979,0.9927125268137874,1.0917646389832678,1.6778067587586574,4.428299578632595
2056,0.8609666370671064,0.8874492389494288,0.9847491992594987,1.0837041354505779,1.6801364919788804,4.542068778034525
2057,0.85281618673094,0.8797218732653598,0.9766977167876348,1.0754588231949163,1.6817318527709897,4.6535816229441345
2058,0.8446340225802359,0.8718630401121856,0.9684405395080956,1.0670997824943491,1.682288962888869,4.76425173304336
2059,0.8365152860586071,0.863916561979608,0.9602421321736064,1.0584848527927442,1.6814216437280796,4.87551991300802
2060,0.8283648357224407,0.8558678313710596,0.951926184949017,1.0497988428130731,1.6790919105078566,4.987549272801414
2061,0.8203412406444247,0.8477022407899734,0.9436396226969528,1.0409991043884963,1.6757935653781384,5.098110642925105
2062,0.8121907903082582,0.8394490052294837,0.9353824454174136,1.0321282856858536,1.6719064561465706,5.205681663721625
2063,0.8040086261575542,0.8312688071518303,0.9269195733301989,1.0232148188163712,1.6674559060003291,5.3099361152643745
2064,0.7957947481923126,0.8230593940810423,0.9183979312979342,1.0142160556132096,1.6622899758163563,5.411743917357619
2065,0.7874857287834581,0.8148353735136872,0.9097293644030443,1.0052030763544346,1.656199749300447,5.512165284762811
2066,0.779144995560066,0.8065821379531976,0.9009726425905792,0.9961758810400466,1.64909026450069,5.611200217479951
2067,0.7708994037802867,0.7983435098892752,0.892157150833064,0.9870776054475925,1.6410184985882323,5.709283675411173
2068,0.762685525815045,0.7900756668322183,0.8833122741030237,0.9779082495770723,1.6319527975791033,5.806252548593177
2069,0.7544399340352658,0.7818370387682959,0.8744380124004584,0.9686820294840993,1.6219881234252143,5.901834987087128
2070,0.7462577698845617,0.7736568406906424,0.865504980752843,0.9593989451686735,1.6114346851694754,5.994263966290608
