AÑO,0-4,5-14,15-19,20-29,30-59,60+
2043,0.8249486331185791,0.832247748053664,0.8934966030485758,0.9567840553094955,1.493870822166349,2.834416094267086
2044,0.8160752220094027,0.8237770958998833,0.8858057198412056,0.9476882359295669,1.5054884330434852,2.921680615574309
2045,0.8073062859132858,0.8151798778793735,0.8779528014722052,0.9389705088041482,1.5147851531406362,3.01263253400955
2046,0.79866271983284,0.8065209204116787,0.8699320609715165,0.9315166900723777,1.5216149400107624,3.1070043097180946
2047,0.790172383771548,0.7978959196399356,0.8617666462193725,0.9253321810521767,1.5262396175003585,3.204621460185998
2048,0.7818770677346335,0.7893450062048144,0.8535317878265298,0.9194420438587015,1.5293288757494543,3.305274606396529
2049,0.7737280167160021,0.7809237456087819,0.8452506336732214,0.9134006697634223,1.5312221647700883,3.409056805690456
2050,0.7657321957165245,0.7726290508794784,0.8369116098193308,0.9068731770552014,1.5320681584047429,3.516276310509082
2051,0.7578687097335887,0.764494878712856,0.8285089292947998,0.8994652695257643,1.531972112471104,3.6269854656065883
2052,0.750116663764583,0.7565027072747591,0.8200888878600943,0.8919439343199741,1.5306695717272347,3.74005013464234
2053,0.7423994427999303,0.7486463626204691,0.8116572724852722,0.8845009182240466,1.5282684233862638,3.8534114239517963
2054,0.7347170468396309,0.7408826271369566,0.8032082962002755,0.8767716322782759,1.5250739093194816,3.965452462239076
2055,0.7270485808810726,0.7331960659624254,0.7947188111248712,0.8687074646213676,1.5212097051126698,4.074771573308828
2056,0.7193801149225144,0.7255465484562051,0.7862351130195252,0.8602625040509885,1.5167126503020185,4.180717355775662
2057,0.7117186139648267,0.7178970309499849,0.7778034976447031,0.8515069677001188,1.5114998559310995,4.2834003152317415
2058,0.7040919380114923,0.7102598613332016,0.7694355389405215,0.842551582586151,1.5053581789690982,4.383832450257943
2059,0.6965279470659934,0.7026504744676516,0.7611717456973878,0.8334881711137517,1.4980994746419,4.483136265027307
2060,0.6890545011318127,0.6950657833809756,0.7530294788254766,0.8243815490979799,1.4898711010942658,4.581218702199061
2061,0.68167160020895,0.6875428317414846,0.7449971643846715,0.8153370422383062,1.4811953903214645,4.6764163618069405
2062,0.6743653142956643,0.6800847065215379,0.7370748023749725,0.8064680782110835,1.4725275737349894,4.767240326398623
2063,0.6671217133902142,0.6727284513894463,0.7292739667364961,0.7978205682186453,1.4639926426183438,4.853661515555116
2064,0.6599477624934703,0.6654771533175692,0.7215715095890094,0.7894026142378741,1.4554103463837391,4.936761720862874
2065,0.6528504266063033,0.6583369862506251,0.7139790048726288,0.7812142162687696,1.4465385966504967,5.017867009427872
2066,0.6458227407278426,0.6513048632162548,0.706461730767005,0.7732148644269202,1.4371708288764073,5.097832345568435
2067,0.6388438098554763,0.6443838711868174,0.6990081133320216,0.7653478448741493,1.427114951194193,5.177117199904616
2068,0.6318788089848512,0.6375277055769243,0.6915834307473293,0.7575726477260452,1.4162446566226303,5.255936767536947
2069,0.6249486331185792,0.6307209315247791,0.6841876830129281,0.7498379604623528,1.4046165201637255,5.333633830996237
2070,0.618039352254919,0.6239604620580227,0.6768440180090508,0.7420951712217781,1.392450263336899,5.408731104997761
