AÑO,0-4,5-14,15-19,20-29,30-59,60+
2020,1.0,1.0,1.0,1.0,1.0,1.0
2021,0.9904235513991612,0.9958609431758793,0.9956663449807899,1.0067808004821903,1.0242761353652903,1.039562565409051
2022,0.9845704723753504,0.9896088058998497,0.9935541433747883,1.0110260452285187,1.0498994613907708,1.091836950431832
2023,0.9801299557397118,0.9817920212662997,0.9941975151283405,1.0132312542742226,1.0759820873043635,1.1527374018203538
2024,0.9759936833107565,0.972733196977811,0.9966314026111182,1.0140976898913914,1.1014064723899348,1.2161326469126927
2025,0.9710750686360442,0.9631775568273468,0.9991745419011029,1.0145294588109837,1.125910922525188,1.2818006913538484
2026,0.964396183908379,0.9540445327672643,1.0004430767736727,1.014946738840657,1.1493552444303212,1.3495301119485819
2027,0.9572899085094208,0.9450792647125242,0.9995629927711721,1.0153553255363787,1.1717461139758012,1.4195587597915367
2028,0.950118437923316,0.9359559188835193,0.9963400644585663,1.0156045344429891,1.1932290651378032,1.4920716301785468
2029,0.9425268205756011,0.9265164175059843,0.9915815413002179,1.0152307210830736,1.2140217312935433,1.5670687231096123
2030,0.9346164712018371,0.9175543755282701,0.9845894256389713,1.0140600187776014,1.2340640296088208,1.6446610357622335
2031,0.9264163654407557,0.9101182679837664,0.9744654248377914,1.0124546497745528,1.2529874520338706,1.7248168546571245
2032,0.9179554789310886,0.9040242084820017,0.9621321097130926,1.0108260985476336,1.2705089416609032,1.8073670412380942
2033,0.9093134946793483,0.8982946956841542,0.9491007969312382,1.0094206762254703,1.2866685537127187,1.8918623212152605
2034,0.9005049005049005,0.8924780788066096,0.9355475032927281,1.008163040580483,1.3017880651458145,1.977673710582788
2035,0.8915586720464769,0.8861710982211412,0.9236147781277882,1.0058998759751023,1.3162840502773157,2.0638550905419835
2036,0.8825472484009069,0.8789608160684445,0.9159368038990756,1.0014807645497432,1.3304729453673465,2.1494391999746294
2037,0.8735140930262881,0.8714795434455793,0.9110083334850719,0.9948680351906158,1.3445363340926024,2.233860481833462
2038,0.8645606206581816,0.863930523205172,0.9065229398447411,0.9867339723899714,1.358544980680031,2.3171347928581243
2039,0.8556940752062703,0.8561492254189061,0.9019525725765825,0.9775683006270791,1.3723373290643368,2.3996691226994513
2040,0.8468782371221396,0.8481517804719105,0.8965567472095267,0.968127339955722,1.3855916022890225,2.4818546042686345
2041,0.8381275942251551,0.839980127365521,0.889607118362194,0.959268832659117,1.3979379571302302,2.56421979555377
2042,0.8294783660637319,0.8316665268699955,0.8823964990865335,0.9506943076049286,1.4090879959837963,2.647272112223432
